revenue_year,cat_rev_year,price,year,mes,positive_year,negative_year,followers_year,reviews_year,score,adventure,singleplayer,story_rich,horror,3d,survival,choices_matter,historical,mystery,replay_value,early_access,female_protagonist,lovecraftian,open_world,multiplayer,co_op,indie,atmospheric,violent,online_co_op,third_person,sandbox,soundtrack,strategy,difficult,gore,great_soundtrack,first_person,simulation,rpg,character_customization,funny,casual,sci_fi,exploration,action,sexual_content,realistic,nudity,fantasy,anime,building,turn_based,tactical,management,psychological,visual_novel,psychological_horror,moddable,crafting,positive_n,followers_n
11511169.51,3. Más de 5M y menos de 20M,39.99,2019,5,16132,1035,72187,15025,9,1,1,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3
13094170.4,3. Más de 5M y menos de 20M,39.99,2019,8,17171,3099,92367,17298,9,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,1,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,3
6000714.796,3. Más de 5M y menos de 20M,29.99,2017,8,11021,1018,47831,10308,9,1,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,0,0,0,0,1,0,0,0,0,3,3
9205043.86,3. Más de 5M y menos de 20M,29.99,2018,12,17524,983,81339,15893,9,1,1,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,3,3
16269379.84,3. Más de 5M y menos de 20M,59.99,2020,1,17224,1324,71986,13847,9,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,3,3
18369803.06,3. Más de 5M y menos de 20M,19.99,2020,3,50193,2263,188271,48052,10,1,1,1,1,0,0,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,1,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
7131438.721,3. Más de 5M y menos de 20M,39.99,2018,5,0,0,30680,9472,9,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,1,0,1,0,1,0,1,0,0,1,1,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,3
5860091.743,3. Más de 5M y menos de 20M,59.99,2017,11,0,0,68302,5029,6,0,1,1,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,3
7412959.381,3. Más de 5M y menos de 20M,49.99,2018,8,8742,1614,30941,7691,9,1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,3,3
20000000.0,3. Más de 5M y menos de 20M,39.99,2020,6,27640,2855,93358,26433,9,1,1,1,0,0,0,1,0,0,1,0,1,0,0,0,0,0,1,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3
